transfer_id,transfer_fee,transfer_date,transfer_season,from_club_id,to_club_id,players.player_id,players.country_of_birth,players.position,players.sub_position,players.foot,players.height_in_cm,players.date_of_birth,players.age_at_transfer,players.total_appearances_count,players.season_2020_appearances_count
8871,350000.0,2005-01-01,2004,6189,3719,16756,UdSSR,Midfield,Attacking Midfield,Right,192,1986-08-04,18.412046543463383,0,0
8870,1400000.0,2005-01-21,2004,399,31,14555,England,Goalkeeper,Goalkeeper,Right,188,1985-09-03,19.38398357289528,0,0
8868,3500000.0,2005-07-01,2005,720,121,29241,Brazil,Defender,Centre-Back,Right,181,1984-09-22,20.772073921971252,0,0
8869,375000.0,2005-07-01,2005,986,29,29712,England,Goalkeeper,Goalkeeper,Right,192,1986-10-24,18.68583162217659,0,0
8867,9800000.0,2005-07-04,2005,1050,31,7825,Spain,Goalkeeper,Goalkeeper,Right,188,1982-08-31,22.84188911704312,0,0
8866,230000.0,2005-07-19,2005,36112,6943,33027,Netherlands,Goalkeeper,Goalkeeper,Left,193,1988-04-03,17.29226557152635,0,0
8865,27000000.0,2005-08-31,2005,368,418,25557,Spain,Defender,Centre-Back,Right,184,1986-03-30,19.422313483915126,0,0
8864,600000.0,2006-01-01,2005,3719,2439,16756,UdSSR,Midfield,Attacking Midfield,Right,192,1986-08-04,19.411362080766597,0,0
8863,300000.0,2006-01-27,2005,116,260,19041,Switzerland,Midfield,Defensive Midfield,Both,183,1984-06-27,21.585215605749486,0,0
8861,100000.0,2006-07-01,2006,1082,172,16136,Brazil,Defender,Centre-Back,Left,188,1983-10-18,22.702258726899384,0,0
8862,900000.0,2006-07-01,2006,3054,281,40204,England,Goalkeeper,Goalkeeper,Right,196,1987-04-19,19.200547570157426,0,0
8858,600000.0,2007-01-01,2006,172,3057,16136,Brazil,Defender,Centre-Back,Left,188,1983-10-18,23.20602327173169,0,0
8859,2000000.0,2007-01-01,2006,121,2462,29241,Brazil,Defender,Centre-Back,Right,181,1984-09-22,22.275154004106778,0,0
8860,4000000.0,2007-01-01,2006,1267,2410,39333,Türkiye,Defender,Left-Back,Left,181,1988-10-04,18.24229979466119,0,0
8857,13200000.0,2007-01-23,2006,1010,405,14086,England,Defender,Right-Back,Both,175,1985-07-09,21.541409993155373,0,0
8847,3000000.0,2007-07-01,2007,306,1090,4391,Netherlands,Goalkeeper,Goalkeeper,Right,188,1984-01-24,23.433264887063654,0,0
8848,3000000.0,2007-07-01,2007,6767,3302,18644,Spain,Attack,Centre-Forward,Left,186,1985-08-20,21.861738535249827,0,0
8849,800000.0,2007-07-01,2007,1041,290,18940,France,Goalkeeper,Goalkeeper,Right,191,1987-08-06,19.901437371663246,0,0
8850,7000000.0,2007-07-01,2007,8590,897,20506,Mexico,Midfield,Central Midfield,Left,167,1986-09-28,20.75564681724846,0,0
8851,4000000.0,2007-07-01,2007,814,82,28396,Jugoslawien (SFR),Attack,Centre-Forward,Right,193,1986-03-17,21.28952772073922,0,0
8852,5900000.0,2007-07-01,2007,405,931,28973,Northern Ireland,Midfield,Central Midfield,Right,172,1985-01-01,22.494182067077343,0,0
